10922718	10265164	0
22966596	7343430	1
20378673	5935063	1
3298288	15340278	0
1307907	13139267	0
827646	10384705	1
4988270	19926877	1
11156659	3575255	0
1787391	23241192	1
11622990	9717674	0
5090669	19722336	1
20162871	1953115	1
860848	14263421	1
808361	8080017	1
8688357	7524607	1
3086853	254725	0
22832422	11149084	1
6061402	21442625	1
1741919	20826358	1
19950034	3436001	1
23124633	2235431	1
2362445	670011	1
20164979	7842021	1
7093301	12048547	0
3616724	1663419	1
16540473	5667973	1
20913493	10337386	1
22986029	9361117	0
18047482	23354285	0
22807014	18221863	1
12044335	12821749	1
7542015	6596328	0
18192940	20637944	0
23036596	6190167	1
21642217	2967952	0
11622990	14291851	1
2860973	743715	0
21715891	15890129	0
390532	638963	1
12741414	21644802	0
1914865	3260787	0
5946267	3888637	0
704314	5636800	1
151885	10912333	1
13450574	2684283	0
7938416	19842959	1
18600188	14386499	0
9913187	22307321	1
254039	12937087	0
9929396	317857	0
17957004	18347504	0
11560551	689011	1
8931241	18600879	1
5953607	14390570	1
13289545	6320837	0
6988217	21302551	1
18600879	793635	1
340064	21370186	1
22323688	7044674	0
6847452	13927065	1
5313536	7872661	1
3229363	7682647	1
20142708	19868415	0
20784790	16002345	0
18051587	4776598	0
15679088	3541461	1
1708100	23641084	1
267366	7401182	0
14341903	20663365	0
3410039	8452131	0
18542300	616260	1
11645345	18935086	0
4960417	11018792	0
18471152	13822269	1
23299439	23594635	1
19950034	20052285	1
7409728	5933078	1
11986407	9398847	0
9996802	14878607	1
20708362	1038900	0
2386120	18733556	1
11275834	2676362	0
8452131	2401142	0
4114529	16227459	1
21837100	17116122	1
6622146	6790585	0
4407823	17267601	1
18492103	21493541	0
15742104	13237415	0
615357	15072228	1
4629671	16879560	0
5036265	11032544	1
15396083	15759378	1
17467385	19886621	1
20059162	1292366	1
21150258	658946	0
4894708	6128265	1
2705336	9540291	1
6569409	9918989	1
8212984	13744886	0
19963744	13496394	0
22832422	8759736	1
18733556	17729553	1
7005226	2520215	0
20805582	20436817	1
22880847	13438575	1
19210936	9945506	0
1919602	6028953	0
23574216	17212288	1
3945057	17217414	0
17374904	20601755	1
12206255	8558409	1
14843540	15882289	1
20080195	15805164	0
15007015	8661929	0
18349315	17930256	1
9186582	23294396	1
20732948	13576759	0
480017	11582923	0
18133080	4591684	0
22564546	9552054	1
22447616	19189367	1
4591684	1953115	1
8558409	16987999	1
12768281	4209926	0
8624822	11032545	1
19687458	12763612	0
970144	8766831	1
6988217	13812091	1
14843583	14667831	0
15854368	23563688	0
19100233	10329098	1
21195765	8143637	0
587211	11591514	0
475969	19994918	0
20023016	10315160	0
18314468	1692778	0
19279420	8924519	0
19606201	14975464	0
7898667	15007015	0
8352956	6120970	1
3153908	8080017	0
4961125	23609709	0
9909126	17984312	1
9705209	2941028	1
18196382	4784786	0
8258909	21754660	1
14183084	19251430	1
22447616	8568973	0
4721547	16351776	1
17217414	20514960	1
5557048	23439557	1
5090669	1160946	0
20210697	15774654	0
22306604	20870396	1
7996909	5132884	1
15849787	9033640	0
9819955	7034888	0
5097360	16005066	0
14058408	12682066	1
13354574	3791822	0
21481555	13529502	1
15597101	392357	1
22625096	14511387	0
20929406	21204167	1
255401	49834	0
18034373	11188584	0
5910211	7922492	1
14386499	7386971	1
18820147	10252056	0
2241900	15707123	0
3096692	16865047	1
15858892	186569	0
2056082	665978	1
19260977	15612870	0
5807569	10313620	0
16478537	17901734	0
19953390	9834214	0
4681906	11995931	0
20331164	7235121	0
3452556	7794666	0
20741536	16351776	1
12473411	11572565	1
6908540	15410299	0
827646	2329317	0
21456138	18034360	0
22135200	2012592	1
21807525	4317626	1
22165218	4309920	0
484360	6692645	0
11314012	4518934	1
831649	16749958	1
9585279	20861926	0
23161666	6037299	0
20517803	8660836	0
6056798	2396214	1
19279820	14878607	1
14412812	7044674	1
6171405	9118411	1
1214974	13216961	1
3058819	821218	0
8352956	21679395	1
14945924	4921001	0
1949890	9183056	0
12384825	15480455	1
12328424	11603577	1
145197	2684285	0
587124	3078767	1
22423727	1820410	1
9168699	18850012	0
9261775	12682066	1
22363264	9013668	1
691247	3767765	0
15999201	2819354	0
16583451	11066055	1
21150258	14840321	1
18121763	9516458	0
1655163	9312243	0
8544629	19436818	1
1630148	8665323	0
6644757	14310068	1
14212319	4489007	0
10298327	1961734	0
17793612	9130585	1
15999201	7954779	1
793635	18084457	1
2860973	12744196	0
9348293	19074021	1
662799	9872510	1
21722036	4684098	1
10254165	17076233	1
19392665	8500021	0
16157869	5138483	1
3520277	3525047	0
7088303	16908849	0
13660039	13335071	1
19565152	6013590	1
20924120	3753583	1
13071869	23158910	0
18790182	20517803	1
557734	8611951	1
3558514	20514960	1
23267978	19578818	0
17761371	21134287	0
20870396	392357	1
8558409	17965575	1
23248619	16353456	0
